Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;1;49;100,0;1;1;0;0;100,00;48;1;1;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;2;22;100,0;1;1;0;0;100,00;22;0;0;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;3;342;100,0;1;1;0;0;100,00;339;3;3;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;4;237;100,0;1;1;0;0;100,00;233;4;3;1;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt i retning Fredrikstad;259;100,0;1;1;0;0;100,00;255;4;3;1;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt i retning Sarpsborg;391;100,0;1;1;0;0;100,00;387;4;4;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt;650;100,0;1;1;0;0;100,00;642;8;7;1;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;1;31;100,0;1;1;0;0;100,00;29;2;2;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;2;43;100,0;1;1;0;0;100,00;43;0;0;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;3;360;100,0;1;1;0;0;100,00;356;4;4;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;4;333;100,0;1;1;0;0;100,00;327;6;6;0;0;0;0;0
69356V971439;Glemmen;FV109 S1D1 m1184;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;Totalt i retning Fredrikstad;376;100,0;1;1;0;0;100,00;370;6;6;0;0;0;0;0
