Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;1;163;100,0;1;1;0;0;100,00;161;2;1;1;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;2;117;100,0;1;1;0;4;96,58;108;5;5;0;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt i retning Fredrikstad;117;100,0;1;1;0;4;96,58;108;5;5;0;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt i retning Skjeberg;163;100,0;1;1;0;0;100,00;161;2;1;1;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt;280;100,0;1;1;0;4;98,57;269;7;6;1;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;1;199;100,0;1;1;0;0;100,00;191;8;8;0;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;2;174;100,0;1;1;0;0;100,00;170;4;4;0;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;Totalt i retning Fredrikstad;174;100,0;1;1;0;0;100,00;170;4;4;0;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;Totalt i retning Skjeberg;199;100,0;1;1;0;0;100,00;191;8;8;0;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;Totalt;373;100,0;1;1;0;0;100,00;361;12;12;0;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T02:00+01:00;2023-01-01T03:00+01:00;2023-01-01;02:00;03:00;1;141;100,0;1;1;0;0;100,00;136;5;4;1;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T02:00+01:00;2023-01-01T03:00+01:00;2023-01-01;02:00;03:00;2;110;100,0;1;1;0;0;100,00;106;4;2;2;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T02:00+01:00;2023-01-01T03:00+01:00;2023-01-01;02:00;03:00;Totalt i retning Fredrikstad;110;100,0;1;1;0;0;100,00;106;4;2;2;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T02:00+01:00;2023-01-01T03:00+01:00;2023-01-01;02:00;03:00;Totalt i retning Skjeberg;141;100,0;1;1;0;0;100,00;136;5;4;1;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T02:00+01:00;2023-01-01T03:00+01:00;2023-01-01;02:00;03:00;Totalt;251;100,0;1;1;0;0;100,00;242;9;6;3;0;0;0;0
06966V971804;Rakkestadsvingen øst;FV130 S1D1 m589;2023-01-01T03:00+01:00;2023-01-01T04:00+01:00;2023-01-01;03:00;04:00;1;67;100,0;1;1;0;0;100,00;62;5;3;2;0;0;0;0
