Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;1;189;100,0;1;1;0;0;100,00;186;3;2;1;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;2;158;100,0;1;1;0;0;100,00;156;2;2;0;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;3;80;100,0;1;1;0;0;100,00;77;3;3;0;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;4;119;100,0;1;1;0;0;100,00;116;3;3;0;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt i retning Fredrikstad;269;100,0;1;1;0;0;100,00;263;6;5;1;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt i retning Råde;277;100,0;1;1;0;0;100,00;272;5;5;0;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T00:00+01:00;2023-01-01T01:00+01:00;2023-01-01;00:00;01:00;Totalt;546;100,0;1;1;0;0;100,00;535;11;10;1;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;1;252;100,0;1;1;0;0;100,00;248;4;3;1;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;2;213;100,0;1;1;0;0;100,00;212;1;1;0;0;0;0;0
05882V3188133;Simo;RV110 S3D1 m2715;2023-01-01T01:00+01:00;2023-01-01T02:00+01:00;2023-01-01;01:00;02:00;3;147;100,0;1;1;0;0;100,00;144;3;3;0;0;0;0;0
