Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Antall minutter nedbør siste time;Høyeste middelvind (1 t)
Strømtangen Fyr;SN17000;01.01.2005 01:00;0;-0,1;-;3,3
Strømtangen Fyr;SN17000;01.01.2005 02:00;0;-1,3;-;2,2
Strømtangen Fyr;SN17000;01.01.2005 03:00;0;-2,2;-;2,4
Strømtangen Fyr;SN17000;01.01.2005 04:00;0,4;-2,2;-;1,7
Strømtangen Fyr;SN17000;01.01.2005 05:00;0,2;3,4;-;8,6
Strømtangen Fyr;SN17000;01.01.2005 06:00;0;3,9;-;10,4
Strømtangen Fyr;SN17000;01.01.2005 07:00;0;4,6;-;11,7
Strømtangen Fyr;SN17000;01.01.2005 08:00;0;5;-;10,4
Strømtangen Fyr;SN17000;01.01.2005 09:00;0;5,3;-;10,1
Strømtangen Fyr;SN17000;01.01.2005 10:00;0;5,8;-;9,9
Strømtangen Fyr;SN17000;01.01.2005 11:00;0;6;-;10,8
Strømtangen Fyr;SN17000;01.01.2005 12:00;0;6,2;-;11,1
Strømtangen Fyr;SN17000;01.01.2005 13:00;0;6,2;-;11,3
Strømtangen Fyr;SN17000;01.01.2005 14:00;0;6,3;-;11,9
Strømtangen Fyr;SN17000;01.01.2005 15:00;0;6;-;12
Strømtangen Fyr;SN17000;01.01.2005 16:00;0;6;-;11,6
Strømtangen Fyr;SN17000;01.01.2005 17:00;0;5,9;-;9,7
Strømtangen Fyr;SN17000;01.01.2005 18:00;0;5,9;-;10,7
Strømtangen Fyr;SN17000;01.01.2005 19:00;0;5,9;-;10,7
Strømtangen Fyr;SN17000;01.01.2005 20:00;0;6;-;11,9
Strømtangen Fyr;SN17000;01.01.2005 21:00;0;6,1;-;13,3
Strømtangen Fyr;SN17000;01.01.2005 22:00;0;6;-;14,4
Strømtangen Fyr;SN17000;01.01.2005 23:00;0,2;5,6;-;15,4
Strømtangen Fyr;SN17000;02.01.2005 00:00;0;5,8;-;17,4
Strømtangen Fyr;SN17000;02.01.2005 01:00;0,2;5,5;-;17
Strømtangen Fyr;SN17000;02.01.2005 02:00;1,4;5,2;-;18,7
Strømtangen Fyr;SN17000;02.01.2005 03:00;0,6;5,6;-;19,6
Strømtangen Fyr;SN17000;02.01.2005 04:00;0;6,5;-;20
Strømtangen Fyr;SN17000;02.01.2005 05:00;0;6;-;21,6
Strømtangen Fyr;SN17000;02.01.2005 06:00;0,2;5,8;-;21,6
Strømtangen Fyr;SN17000;02.01.2005 07:00;0;5,7;-;20,7
Strømtangen Fyr;SN17000;02.01.2005 08:00;0;5,6;-;18,9
Strømtangen Fyr;SN17000;02.01.2005 09:00;0,1;5,5;-;18
Strømtangen Fyr;SN17000;02.01.2005 10:00;0,1;5,5;-;17,9
Strømtangen Fyr;SN17000;02.01.2005 11:00;0;5,5;-;12,5
Strømtangen Fyr;SN17000;02.01.2005 12:00;0;5,5;-;11,4
Strømtangen Fyr;SN17000;02.01.2005 13:00;0;5,4;-;13,7
Strømtangen Fyr;SN17000;02.01.2005 14:00;0;5,5;-;14,1
Strømtangen Fyr;SN17000;02.01.2005 15:00;0;5,1;-;13,2
Strømtangen Fyr;SN17000;02.01.2005 16:00;0;4,8;-;12,3
Strømtangen Fyr;SN17000;02.01.2005 17:00;0;4,4;-;12
Strømtangen Fyr;SN17000;02.01.2005 18:00;0;4;-;10,8
Strømtangen Fyr;SN17000;02.01.2005 19:00;0;3,8;-;9,4
Strømtangen Fyr;SN17000;02.01.2005 20:00;0;3,6;-;10,3
Strømtangen Fyr;SN17000;02.01.2005 21:00;0;3,5;-;10,9
Strømtangen Fyr;SN17000;02.01.2005 22:00;0;3,4;-;11,1
Strømtangen Fyr;SN17000;02.01.2005 23:00;0;3,4;-;12
Strømtangen Fyr;SN17000;03.01.2005 00:00;0;3,8;-;13,3
Strømtangen Fyr;SN17000;03.01.2005 01:00;0;3,8;-;13,3
Strømtangen Fyr;SN17000;03.01.2005 02:00;0;4;-;12,6
Strømtangen Fyr;SN17000;03.01.2005 03:00;0;4,1;-;12,4
Strømtangen Fyr;SN17000;03.01.2005 04:00;0;4;-;13,3
Strømtangen Fyr;SN17000;03.01.2005 05:00;0;4;-;11,9
Strømtangen Fyr;SN17000;03.01.2005 06:00;0;4,2;-;11,7
Strømtangen Fyr;SN17000;03.01.2005 07:00;0;4,1;-;11,9
Strømtangen Fyr;SN17000;03.01.2005 08:00;0;4;-;12,5
Strømtangen Fyr;SN17000;03.01.2005 09:00;0;4,3;-;12,5
Strømtangen Fyr;SN17000;03.01.2005 10:00;0;4,3;-;13,4
Strømtangen Fyr;SN17000;03.01.2005 11:00;0;4,4;-;14,8
Strømtangen Fyr;SN17000;03.01.2005 12:00;0;4,7;-;11,8
