Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Antall minutter nedbør siste time;Høyeste middelvind (1 t)
Strømtangen Fyr;SN17000;01.01.2024 01:00;0;-0,9;44;13,7
Strømtangen Fyr;SN17000;01.01.2024 02:00;0;-1;45;14,7
Strømtangen Fyr;SN17000;01.01.2024 03:00;0;-0,9;47;14
Strømtangen Fyr;SN17000;01.01.2024 04:00;0;-0,6;15;13,9
Strømtangen Fyr;SN17000;01.01.2024 05:00;0;-0,9;22;14
Strømtangen Fyr;SN17000;01.01.2024 06:00;0;-1,1;60;14,6
Strømtangen Fyr;SN17000;01.01.2024 07:00;0;-1,4;60;13,9
Strømtangen Fyr;SN17000;01.01.2024 08:00;0;-1,3;42;13,4
Strømtangen Fyr;SN17000;01.01.2024 09:00;0;-1,4;14;13,6
Strømtangen Fyr;SN17000;01.01.2024 10:00;0;-1,4;58;14,1
Strømtangen Fyr;SN17000;01.01.2024 11:00;0;-2,1;60;13,5
Strømtangen Fyr;SN17000;01.01.2024 12:00;0;-2,5;60;11,4
Strømtangen Fyr;SN17000;01.01.2024 13:00;0,8;-2,7;60;9,5
Strømtangen Fyr;SN17000;01.01.2024 14:00;0,6;-2,8;60;10,4
Strømtangen Fyr;SN17000;01.01.2024 15:00;0,5;-3;60;10,8
Strømtangen Fyr;SN17000;01.01.2024 16:00;0,2;-2,6;60;9,8
Strømtangen Fyr;SN17000;01.01.2024 17:00;0,2;-2,7;60;10,8
Strømtangen Fyr;SN17000;01.01.2024 18:00;0,3;-3,1;60;10,1
Strømtangen Fyr;SN17000;01.01.2024 19:00;0,3;-2,7;60;10,4
Strømtangen Fyr;SN17000;01.01.2024 20:00;0,2;-2,3;60;11
Strømtangen Fyr;SN17000;01.01.2024 21:00;0,3;-3;60;11,3
Strømtangen Fyr;SN17000;01.01.2024 22:00;0,2;-3,1;60;11,2
Strømtangen Fyr;SN17000;01.01.2024 23:00;0,4;-2,8;60;11,4
Strømtangen Fyr;SN17000;02.01.2024 00:00;0;-2,9;60;12,3
Strømtangen Fyr;SN17000;02.01.2024 01:00;0,1;-3,2;60;11,5
Strømtangen Fyr;SN17000;02.01.2024 02:00;0;-3,2;60;12,2
Strømtangen Fyr;SN17000;02.01.2024 03:00;0,1;-3,5;60;12,1
Strømtangen Fyr;SN17000;02.01.2024 04:00;0;-3,6;60;11,8
Strømtangen Fyr;SN17000;02.01.2024 05:00;0;-3,8;60;11,6
Strømtangen Fyr;SN17000;02.01.2024 06:00;0;-3,7;49;11,2
Strømtangen Fyr;SN17000;02.01.2024 07:00;0;-3,9;2;13
Strømtangen Fyr;SN17000;02.01.2024 08:00;0;-4,2;16;12,3
Strømtangen Fyr;SN17000;02.01.2024 09:00;0;-4,4;38;12,9
Strømtangen Fyr;SN17000;02.01.2024 10:00;0;-5,4;12;12,3
Strømtangen Fyr;SN17000;02.01.2024 11:00;0;-5,6;44;13,1
Strømtangen Fyr;SN17000;02.01.2024 12:00;0;-6,2;55;14,4
Strømtangen Fyr;SN17000;02.01.2024 13:00;0;-6,2;34;14,5
Strømtangen Fyr;SN17000;02.01.2024 14:00;0;-6,3;58;12,9
Strømtangen Fyr;SN17000;02.01.2024 15:00;0;-6,4;38;12,6
Strømtangen Fyr;SN17000;02.01.2024 16:00;0;-6,6;42;11,8
Strømtangen Fyr;SN17000;02.01.2024 17:00;0;-6,7;51;12,6
Strømtangen Fyr;SN17000;02.01.2024 18:00;0;-6,8;48;12,3
Strømtangen Fyr;SN17000;02.01.2024 19:00;0;-6,3;51;11,4
